user_id,receiver_id,amount,hour,device_id,new_device,night_tx,high_amount,fraud_receiver,fraud_prob,is_fraud
883.0,73,2232.7220190044095,15,883_dev_0,0,0,0,1,0.2,0
709.0,150,2530.250728772622,21,709_dev_0,0,0,0,0,0.0,0
499.0,34,2249.724398403949,19,499_dev_0,0,0,0,1,0.2,0
990.0,5,2866.3721406939994,15,990.0_new_dev,1,0,0,1,0.2,1
69.0,324,4583.421123827325,0,69_dev_1,0,1,0,0,0.0,0
849.0,270,5148.551746229118,12,849_dev_1,0,0,0,0,0.0,0
752.0,242,3493.7576543794653,16,752_dev_0,0,0,0,1,0.2,0
386.0,188,1860.1272827296084,19,386_dev_0,0,0,0,0,0.0,0
92.0,210,4762.2479618237985,15,92.0_new_dev,1,0,0,0,0.0,0
1.0,184,5444.763421990757,22,1_dev_1,0,0,0,0,0.0,0
473.0,394,4770.0641056374025,13,473_dev_0,0,0,0,1,0.2,0
269.0,119,2558.003641796637,20,269.0_new_dev,1,0,0,0,0.0,0
131.0,450,2611.7487234807786,13,131_dev_2,0,0,0,0,0.0,0
274.0,146,2304.211239972686,17,274_dev_2,0,0,0,0,0.0,0
295.0,93,1081.7162347309536,21,295_dev_0,0,0,0,0,0.0,0
478.0,131,8091.227550724207,8,478_dev_0,0,0,0,0,0.0,0
514.0,403,1396.8639278042053,4,514.0_new_dev,1,1,0,1,0.5,0
263.0,295,100.0,8,263.0_new_dev,1,0,0,1,0.2,1
629.0,34,1289.1854195116584,11,629_dev_2,0,0,0,1,0.2,0
73.0,271,3412.805210340793,8,73_dev_0,0,0,0,0,0.0,0
201.0,498,1472.3138490121855,12,201_dev_0,0,0,0,0,0.0,0
483.0,327,4290.590012877571,13,483_dev_0,0,0,0,0,0.0,0
713.0,282,5013.982336870093,12,713_dev_0,0,0,0,0,0.0,0
153.0,19,3729.3040486923314,11,153_dev_1,0,0,0,0,0.0,0
156.0,181,3613.272000545776,20,156_dev_0,0,0,0,0,0.0,0
359.0,295,3203.488155425942,21,359.0_new_dev,1,0,0,1,0.2,0
196.0,427,2770.8323110665924,9,196_dev_0,0,0,0,0,0.0,0
68.0,27,330.56271683429975,10,68_dev_0,0,0,0,0,0.0,0
591.0,211,2312.2781001114317,20,591_dev_0,0,0,0,0,0.0,0
397.0,395,2068.3638522577075,10,397_dev_1,0,0,0,1,0.2,0
842.0,82,2294.0602376607485,20,842_dev_0,0,0,0,0,0.0,0
573.0,349,3699.5053263126133,10,573_dev_0,0,0,0,0,0.0,0
244.0,491,1738.08872787562,23,244_dev_0,0,0,0,0,0.0,0
850.0,441,1071.6727429126788,4,850_dev_1,0,1,0,1,0.2,0
967.0,441,2127.3507081209923,18,967_dev_1,0,0,0,1,0.2,0
276.0,235,5335.954196940309,13,276_dev_0,0,0,0,1,0.2,1
518.0,31,6595.982856875014,7,518_dev_0,0,0,0,0,0.0,0
343.0,206,1748.301109032748,17,343_dev_0,0,0,0,1,0.2,0
240.0,258,7649.703241545576,21,240_dev_0,0,0,0,0,0.0,0
33.0,4,8025.296480395142,16,33_dev_1,0,0,0,0,0.0,0
934.0,166,786.5779474108394,22,934_dev_0,0,0,0,0,0.0,0
467.0,8,4014.5360691222104,11,467_dev_0,0,0,0,1,0.2,0
487.0,319,2125.6878423967755,20,487_dev_0,0,0,0,0,0.0,0
840.0,217,942.89145714791,12,840.0_new_dev,1,0,0,0,0.0,0
508.0,407,596.3069697628953,12,508_dev_0,0,0,0,0,0.0,0
217.0,163,6532.994370857809,16,217.0_new_dev,1,0,0,0,0.0,0
796.0,78,3817.994320707993,4,796_dev_1,0,1,0,0,0.0,0
765.0,284,3698.38118623965,20,765_dev_0,0,0,0,0,0.0,0
781.0,469,4020.0713705886083,16,781_dev_1,0,0,0,0,0.0,0
666.0,274,3457.8540849347683,17,666_dev_0,0,0,0,1,0.2,1
714.0,458,3162.5870952808564,19,714_dev_1,0,0,0,0,0.0,0
91.0,124,1146.6803191370095,17,91_dev_0,0,0,0,0,0.0,0
265.0,310,3069.334261495342,15,265_dev_1,0,0,0,0,0.0,0
669.0,320,2623.4476574642013,16,669_dev_1,0,0,0,0,0.0,0
746.0,112,2201.5200924107926,14,746_dev_2,0,0,0,0,0.0,0
55.0,312,4825.551656144664,18,55_dev_0,0,0,0,0,0.0,0
428.0,256,1928.7015891554868,9,428_dev_2,0,0,0,1,0.2,1
354.0,278,186.29431571120904,19,354_dev_0,0,0,0,0,0.0,0
841.0,77,6393.420174712301,21,841_dev_1,0,0,0,0,0.0,0
